id,time_mt,time_rt,time_et,time_at,lng,lat,speed,course,accum_trip,it,route_dir,route_flag,route_sn,route_dist,route_code
8471,2022-08-02 14:23:37,2022-08-02 14:27:53,2022-08-02 14:27:50,2022-08-02 14:25:07,113.99821399999999,22.603385,0,214,71644.8,,2,0,8,239,201
18447,2022-08-02 14:28:00,2022-08-02 14:28:03,2022-08-02 14:28:00,2022-08-02 07:24:20,113.993797,22.604620999999998,20,330,42280.3,,2,1,1,416,202
8267,2022-08-02 15:26:45,2022-08-02 15:27:03,2022-08-02 15:27:00,2022-08-02 13:27:52,113.997497,22.610528,0,116,75425.8,0.0,1,0,1,492,201
8470,2022-08-02 15:27:06,2022-08-02 15:27:10,2022-08-02 15:27:06,2022-08-02 14:49:09,113.99803100000001,22.598976,24,47,61943.2,0.0,2,1,5,193,201
18447,2022-08-02 15:27:10,2022-08-02 15:27:14,2022-08-02 15:27:10,2022-08-02 07:24:20,113.991546,22.599617000000002,17,220,42290.5,0.0,1,1,5,503,202
8267,2022-08-02 15:33:33,2022-08-02 15:33:38,2022-08-02 15:33:33,2022-08-02 13:27:52,113.997932,22.605941,22,243,75426.4,0.0,1,1,2,92,201
8421,2022-08-02 15:31:46,2022-08-02 15:33:34,2022-08-02 15:33:31,2022-08-02 14:24:29,113.99755,22.61061,0,81,66062.1,0.0,1,0,1,0,201
8470,2022-08-02 15:33:34,2022-08-02 15:33:37,2022-08-02 15:33:34,2022-08-02 14:49:09,113.997993,22.605819,23,63,61945.0,0.0,2,0,12,530,201
18447,2022-08-02 15:33:29,2022-08-02 15:33:32,2022-08-02 15:33:29,2022-08-02 07:24:20,113.993614,22.605495,12,57,42291.4,0.0,2,1,1,433,202
8330,2022-08-02 14:16:37,2022-08-02 14:19:25,2022-08-02 14:19:22,2022-08-02 11:58:18,113.99752,22.610605,0,123,70788.8,,1,0,1,534,201
8335,2022-08-02 14:19:21,2022-08-02 14:19:20,2022-08-02 14:19:21,2022-08-02 11:15:47,113.99818400000001,22.603332,4,286,66076.0,,1,1,2,353,202
8345,2022-08-02 14:16:28,2022-08-02 14:19:28,2022-08-02 14:19:28,2022-08-02 06:48:47,113.99069899999999,22.603343,0,266,54598.2,,1,1,13,140,201
8371,2022-08-02 14:19:24,2022-08-02 14:19:27,2022-08-02 14:19:24,2022-08-02 13:47:56,113.997863,22.610236999999998,24,336,74908.4,,2,0,13,0,201
8458,2022-08-02 14:19:14,2022-08-02 14:19:26,2022-08-02 14:19:23,2022-08-02 12:49:46,113.99553600000002,22.606351,0,85,66282.9,,2,1,1,659,202
8471,2022-08-02 14:19:26,2022-08-02 14:19:29,2022-08-02 14:19:26,2022-08-02 11:43:57,113.993949,22.604688,22,330,71643.6,,2,0,10,268,201
